Key;en;es;pt-br
currentLang;English;Español;Português\n(Brasil)
newserver;Changing host will close your current Pou account! Are you sure to continue?;¡Cambiar de servidor cerrará tu cuenta de Pou actual! ¿Estás seguro de continuar?;Mudar o servidor vai desconectar a sua conta atual do Pou! Tem certeza que quer continuar?
no-meta;"Metadata for custom server ""%s"" not found!";"¡Los metadatos para el servidor personalizado ""%s"" no han sido encontrados!";"Os dados pro servidor personalizado ""%s"" não foram encontrados!"
warn;Warning!;¡Advertencia!;Aviso!
opNick;Change Nickname;Cambiar Apodo;Mudar apelido
opMail;Change Email;Cambiar Correo;Mudar email
opPass;Change Password;Cambiar Contraseña;Mudar senha
opHost;Change Server;Cambiar Servidor;Mudar servidor
lastlog;Last logged %s ago;Iniciado sesión hace %s;Última vez logado fazem %s atrás
tS;seconds;segundos;segundos
tM;minutes;minutos;minutos
tH;hours;horas;horas
tD;days;días;dias
book1;Hello %s!;¡Hola %s!;Oi %s!
book2;How are you?;¿Cómo estás?;Tudo bem?
book3;I'm fine, thank you!;Estoy bien, gracias;Tô bem, obrigado!
book4;You're cute! ^_^;¡Eres muy dulce! ^_^;Muito amável! ^_^
book5;Nice house!;¡Bonita casa!;Que casa legal!
book6;Nice clothes!;¡Bonita ropa!;Que roupa bonita!
book7;Nice ball!;¡Bonita bola!;Que bola legal!
book8;Nice achievements!;¡Buenos logros!;Sucesso!
book9;I like you! ^_^;¡Me gustas! ^_^;Gosto de você! ^_^
book10;Let's be friends!;¡Seamos amigos!;Vamos ser amigos!
book11;Thanks for liking me!;¡Gracias por darme like!;Obrigado por gostar de mim!
book12;Let's play together!;¡Juguemos juntos!;Vamos brincar juntos!
book13;Congratulations!;¡Felicidades!;Parabéns!
book14;Thank you! ^_^;¡Gracias! ^_^;Obrigado! ^_^
book15;Have a nice day!;¡Ten un buen día!;Bom dia!
book16;Good night! Zzz;¡Buenas noches! Zzz;Boa noite! Zzz
book17;Nice garden!;¡Bonito jardín!;Belo jardim!
book18;Nice car!;¡Bonito coche!;Que carro legal!
booknew;New message;Nuevo mensaje;Nova mensagem
matchturn;%s's turn;Turno de %s;Vez de %s
matchUturn;Your turn;Tu turno;Sua vez
matchtie;Nobody wins;Nadie gana;Ninguém ganhou
matchlose;%s wins;%s gana;%s ganhou
matchwin;You win!;¡Tú ganas!;Você ganhou!
badmail;Invalid Email!;Correo Invalido;Email incorreto
changepass;Changed pass!;¡Contraseña cambiada!;Senha incorreta
changemail;Changed e-mail to '%s';Correo cambiado a '%s';Email alterado pra '%s'
changename;Changed nickname to '%s';Apodo cambiado a '%s';Apelido alterado pra '%s'
IncorrectPassword;Incorrect Password;Contraseña Incorrecta;Senha incorreta
NicknameNotAvailable;The nickname is not available for registration.;El apodo no esta disponible.;O apelido não está disponível.
EmailAlreadyRegistered;The e-mail is already registered.;El correo ya estaba registrado.;O email já estava registrado.
UserNotLoggedIn;You need to login to continue.;Debes iniciar sesión para continuar.;Você precisa fazer login pra continuar.
MissingArgument;Missing argument value for %s;Valor faltante para '%s';Valor insuficiente pra '%s'
InvalidArgumentFormat;Invalid value for e-mail;Valor incorrecto para el correo;Formato de email incorreto
IncorrectUserCredentials;Incorrect user credentials.;Credenciales incorrectas;Credenciais incorretas
ObjectNotFound;%s not found: '%s';'%s' no encontrado: '%s';'%s' não encontrado: '%s'
UserBanned;User banned;Usuario baneado;Usuário banido
UserIsMe;You cannot do that to yourself.;No puedes hacer esto a ti mismo.;Você não pode fazer isso a si mesmo
noUserEmpty;User not found;Usuario no encontrado;Usuário não encontrado
baderror;An error has occured;Un error ha ocurrido;Ocorreu um erro
goodstate;Success;Acción cumplida exitosamente;Ação feita com êxito
searchmini;Search mini info (also works with banned accounts);Buscar mini información (también funciona con cuentas baneadas);Pesquisar informações curtas (também funciona com contas banidas)
Bmypou;My Pou;Mi Pou;Meu Pou
Brandompou;Random;Aleatorio;Aleatório
Bsearch;Search;Buscar;Pesquisar
Btoplikes;Top Likes;Top Seguidores;TopLikes
Btopgames;Top Games;Top Juegos;TopScore Jogos
Btictac;Tic Tac Pou;Tic Tac Pou;Tic Tac Pou
Bfourpous;Four Pous;Four Pous;Four Pous
Bsettings;Settings;Configuración;Configurações
Bweb;Website;Sitio Web;Site Web
Btwit;Twitter;Twitter;Twitter
Binsta;Instagram;Instagram;Instagram
Bfaceb;Facebook;Facebook;Facebook
Bgit;GitHub;GitHub;GitHub
Bfollowers;Followers;Seguidores;Likes
Bfollowing;Following;Siguiendo;Favoritos
Bvisits;Visitors;Visitantes;Visitantes
Blivestats;Stats;Estadísticas;Estatísticas
noTop;This game isn't supported.;Este juego no es compatible.;Esse jogo não é compatível.
today;Today;Hoy;Hoje
week;Weekly;Semanal;Por semana
month;Monthly;Mensual;Por mês
alltime;All time;Todo el Tiempo;Todos os tempos
userstatus;Game stats;Estadísticas de juego;Estatísticas de jogo
stats;Feeded %s times\nBathed %s times\nHealed %s times\nSlept %s times\nGiven energy via potion %s times\nWatered own flowers %s times\nWatered others flowers %s times;Alimentado %s veces\nLimpiado %s veces\nCurado %s veces\nDurmió %s veces\nDio energía con poción %s veces\nRegó %s veces sus flores\nRegó %s veces flores de otros;Comeu %s vezes\nTomou banho %s vezes\nCurado %s vezes\nDormiu %s vezes\nEnergizado por porção %s vezes\nRegou %s suas próprias flores\nRegou %s vezes flores de outros usuários
